Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
FLAT WOODEN BIT 18MM - UKEN,00-50002232,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 19MM - UKEN,00-50002233,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 20MM - UKEN,00-50002234,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 25MM - UKEN,00-50002235,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 30MM - UKEN,00-50002236,,Nos.,Inventory Item,Cost of Materials
FLAT WOODEN BIT 35MM - UKEN,00-50002237,,Nos.,Inventory Item,Cost of Materials
"GRINDER PAD 5""X125MM",00-50002216,,Nos.,Inventory Item,Cost of Materials
HINGES BIT 35MM,00-50003512,,Nos.,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  LORIENT-  20X4X2200MM BROWN,00-50003563,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  LORIENT- 15X4X2200MM BROWN,00-50003565,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  LORIENT- 25X6X2200MM BROWN,00-50003564,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  PYROSTRIP 15X4X2200MM BROWN,00-50003507,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  PYROSTRIP 20X4X2200MM BROWN,00-50003506,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP -  PYROSTRIP 25X6X2200MM BROWN,00-50003508,,Nos,Inventory Item,Cost of Materials
INTUMESCENT STRIP - 4MMX20MM,00-50001797,,Nos,Inventory Item,Cost of Materials
KERA POXY CLEANER,00-50002239,,CTN,Inventory Item,Cost of Materials
MEASURING TAPE 5MTR STHT33158-8 - STANLEY,00-50002215,,Nos.,Inventory Item,Cost of Materials
"NON ADHESIVE B/S PRINTED WARNING TAPE 3""",00-50003503,,PCS,Inventory Item,Cost of Materials
PAD LOCK 38MM,00-50002214,,Nos.,Inventory Item,Cost of Materials
PAD LOCK SMALL,00-50003193,,Nos.,Inventory Item,Cost of Materials
SANDING SPONGE PREMIUM DISC GRITT NO 220,00-50001407,,Nos,Inventory Item,Cost of Materials
SANDING SPONGE PREMIUM DISC GRITT NO 320,00-50001408,,Nos,Inventory Item,Cost of Materials
SOCKET SINGLE GANG,00-50002485,,Nos.,Inventory Item,Cost of Materials
SPRAY GUN WASHER,00-50003589,,PCS,Inventory Item,Cost of Materials
SS SCREW 1'',00-50002034,,Box,Inventory Item,
SS SCREW 16X6,00-50002866,,Pkt.,Inventory Item,Cost of Materials
SS SCREW 16X8,00-50002867,,Pkt.,Inventory Item,Cost of Materials
SS SCREW 19X6,00-50002864,,Pkt.,Inventory Item,Cost of Materials
SS SCREW 19X8,00-50002865,,Pkt.,Inventory Item,Cost of Materials
SS SCREW 3/4'',00-50002033,,Box,Inventory Item,
"SS SCREW 3/4''x6""",00-50002940,,Box,Inventory Item,Cost of Materials
STAPLER PIN 06MM,00-50003025,,CTN,Inventory Item,Cost of Materials
STAPLER PIN 08MM,00-50001224,,CTN,Inventory Item,Cost of Materials
STAPLER PIN 10MM,00-50003026,,CTN,Inventory Item,Cost of Materials
STAR BIT 4MM,00-50002036,,Nos,Inventory Item,
TOWER BOLT 3'' SS,00-50002041,,Nos,Inventory Item,
"TROLLEY WHEEL 6""",00-50002226,,Nos.,Inventory Item,Cost of Materials
"WARNING TAPE 3"" - YELLOW",00-50002415,,PCS,Inventory Item,Cost of Materials
WD-40,00-50002228,,PCS,Inventory Item,Cost of Materials
Electric,00-50001264,,,,
06MM FLEXIBLE WIRE 4 CORE,00-50003834,,Mtr,Inventory Item,Cost of Materials
100 AMP BREAKER 2P,00-50003944,,No.,Inventory Item,Cost of Materials
10MM FLEXIBLE WIRE 4 CORE,00-50001713,,Mtr,Inventory Item,Other Operating Expenses
20 AMP BREAKER 1P,00-50003431,,No.,Inventory Item,Cost of Materials
32 AMP BREAKER 1P,00-50003430,,No.,Inventory Item,Cost of Materials
63 AMP BREAKER 2P,00-50003433,,No.,Inventory Item,Cost of Materials
63 AMP BREAKER 4P,00-50003432,,No.,Inventory Item,Cost of Materials
COPPER BUSBAR CONNECTOR,00-50003434,,No.,Inventory Item,Cost of Materials
DISTRIBUTION BOX - PVC,00-50003437,,No.,Inventory Item,Cost of Materials
ELECTRIC INSULATION 7/8,00-50002797,,Mtr,Inventory Item,Cost of Materials
ELECTRIC INSULATION TAPE - WHITE,00-50002413,,PCS,Inventory Item,Cost of Materials
NEUTRAL LINK 13 WAY,00-50003531,,PCS,Inventory Item,Cost of Materials
TUBE LIGHT 1MTR,00-50001266,,Nos,Inventory Item,Cost of Materials
UNIVERSAL CONNECTOR 28X45MM GALVANIZED,00-50003530,,PCS,Inventory Item,Cost of Materials
WIRE ROLL 0.75 RED/BLACK,00-50002414,,Roll,Inventory Item,Cost of Materials
Inventory Items,00-50001050,,,,
Consumables,00-50000358,,,,
"1/2"" DRAIN VALVE-220V",00-50003752,,Nos.,Inventory Item,
"1/2"" NIPPLE 2SIDE-BRASS",00-50003750,,Nos.,Inventory Item,
1/2X3/8 BARB HOSE FITTING,00-50003751,,Nos.,Inventory Item,
12MM BALL BEARING BIT,00-50003727,,Nos.,Inventory Item,
ACETATE SILICON SEALANT BROWN - ASMACO,00-50004022,,CTN,Inventory Item,
ACETATE SILICON SEALANT WHITE-089231887,00-50003736,,Nos.,Inventory Item,
ANCHOR BOLT 16MMX20MM,00-50003748,,Nos.,Inventory Item,
"BALL VALVE 1/2""-BRASS",00-50003755,,Nos.,Inventory Item,
BELT 711J/280J FOR 6 HEAD MOULDER MACHINNE,00-50003725,,Nos.,Inventory Item,
BUSHING 8-12MM 799.380.00,00-50003735,,Nos.,Inventory Item,
CERAMIC TILE BIT 6MM DIA,00-50003726,,Nos.,Inventory Item,
CMT GROVING BIT 711.030.11,00-50003709,,Nos.,Inventory Item,
CMT GROVING BIT 711.040.11,00-50003710,,Nos.,Inventory Item,
CMT ROUTER BIT 838.380.11,00-50003702,,Nos.,Inventory Item,
CMT ROUTER BIT 912.160.11B,00-50003708,,Nos.,Inventory Item,
CMT SPIRAL CUTTER BIT - 191.030.11,00-50003903,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 192.040.11,00-50004003,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 198.040.11,00-50003832,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 198.100.11,00-50003830,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 198.101.11,00-50003901,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 198.120.11,00-50003902,,Nos.,Inventory Item,Cost of Materials
CMT SPIRAL CUTTER BIT - 198.660.11,00-50003831,,Nos.,Inventory Item,Cost of Materials
COUPLER 20MM,00-50003774,,Nos.,Inventory Item,
DOL STARTER 10amp,00-50003764,,Nos.,Inventory Item,
FISHER PLUG 8MM-BLUE,00-50003703,,Pkt,Inventory Item,
GI FIX BOLT 10MMX60MM,00-50003759,,Nos.,Inventory Item,
GI FIX BOLT 8MMX60MM,00-50003758,,Nos.,Inventory Item,
"GI HANGING CLAMP-32""",00-50003757,,Nos.,Inventory Item,
"GI HANGING CLAMP-50""",00-50003756,,Nos.,Inventory Item,
HAND GLOVES LATEX-UKEN,00-50003724,,Pair,Inventory Item,
HEXA BLADE,00-50003715,,Nos.,Inventory Item,
MAKITA ROUTER BIT PND-12267,00-50003712,,Nos.,Inventory Item,
MAKITA ROUTER BIT PND-12310,00-50003711,,Nos.,Inventory Item,
MAKITA ROUTER BIT PND-67739,00-50003905,,Nos.,Inventory Item,
MONTAGE KIT SILICON-BISON,00-50003713,,Box,Inventory Item,
PAINTABLE SILICON-47 ASMACO,00-50003714,,Box,Inventory Item,
"PPR ELBOW 32"" WITH THREAD-FEMALE",00-50003754,,Nos.,Inventory Item,
PPR END CAP 50MM,00-50003753,,Nos.,Inventory Item,
PVC GLUE,00-50003775,,CAN,Inventory Item,
PVC PIPE 20MM,00-50003773,,Mtr,Inventory Item,
ROUND BAR 12MMX3MTR,00-50003749,,Nos.,Inventory Item,
SAMSUNG ADAPTOR,00-50003791,,Nos.,Inventory Item,
SANDING PAPER P180-BELMONT,00-50003788,,Pkt,Inventory Item,
SANDING PAPER P220 BELMONT,00-50000344,,Pkt.,Inventory Item,Cost of Materials
SOLID CARBIDE SPIRAL BIT UPCUT 191.165.11,00-50003721,,Nos.,Inventory Item,
"SS SCREW 6X5/6""",00-50003730,,Pkt,Inventory Item,
"SS SCREW 8X3/4""",00-50003729,,Pkt,Inventory Item,
"SS SCREW 8X5/8""",00-50003728,,Pkt,Inventory Item,
TC INSERT 14X14X1.2 (13295),00-50003718,,Nos.,Inventory Item,
TC INSERT 14X14X2.0 Z-4 (13273),00-50003717,,Nos.,Inventory Item,
TC INSERT 15X12X1.5 Z-2 (12003),00-50003719,,Nos.,Inventory Item,
"TC INSERT 7.5X12X1.5,Z-2 (12001)",00-50003716,,Nos.,Inventory Item,
TCT CIRCULAR SAW BLADE RIPPING 278.028.12 ,00-50003733,,Nos.,Inventory Item,
TCT LAMINATE & CHIPBOARD SAW BLADE-281.096.12,00-50003731,,Nos.,Inventory Item,
TCT LAMINATE & CHIPBOARD SAW BLADE-281.108.14,00-50003732,,Nos.,Inventory Item,
TCT MULTI-RIP SAW BLADE 278.036.14,00-50003734,,Nos.,Inventory Item,
VELCRO SANDING DISC P120X165,00-50003706,,Pkt,Inventory Item,
VELCRO SANDING DISC P220X150,00-50003705,,Pkt,Inventory Item,
VELCRO SANDING DISC P220X165,00-50003707,,Pkt,Inventory Item,
2440x1220x18mm MR MDF 1/S MELAMINE WHITE,00-50003661,,SHEET,Inventory Item,
BAMBOO MATT,00-50003651,,LM,Inventory Item,
PVC EDGE BANDER MACHINE HD621J,00-50002888,,Nos.,Inventory Item,
SPOT LIGHT 3W-3000K SS FINISH,00-50002822,,Nos.,Inventory Item,
Iron Mongery,00-50000362,,,,
"311.04.003 Soft close hinge full overlay 110*, Mounting Plate 311.70.610, Cover cap for full overlay( nickel plated) 311.91.520, Hinge Arm Cap",00-50001896,,Nos,Inventory Item,
"433.07.499 Soft close under mounted  runner  250mm, full extesion",00-50000893,,Pair,Inventory Item,
"433.07.501 Soft close under  mounted  runner 300mm, full  extesion",00-50000909,,Pair,Inventory Item,
"433.07.502 Soft close under  mounted  runner 350mm, full extesion",00-50000878,,Pair,Inventory Item,
"433.07.505 Soft close under mounted  runner 500mm, full extesion",00-50000889,,Pair,Inventory Item,
450mm Length Concealed/Bottom Mounted Drawer Runner with Soft and Self Closing Function- HAFELE,00-50001897,,Pair,Inventory Item,
A TYPE HINGES - HAFELE,00-50003686,,Nos.,Inventory Item,
AL DROP 12 INCH - ANTIQUE,00-50002957,,Nos.,Inventory Item,Cost of Materials
AL DROP 14 INCH - ANTIQUE,00-50001549,,Nos.,Inventory Item,
AL DROP 16 INCH - ANTIQUE,00-50003348,,Nos.,Inventory Item,
"ALDROP 14"" GOLD FINISH",00-50002749,,Nos.,Inventory Item,
"ALDROP 8""",00-50002732,,Nos.,Inventory Item,
"BUTT HINGES 3""X4""X3MM ",00-50002703,,Pair,Inventory Item,Cost of Materials
BUTT HINGES 3X1.1/2X2 - ANTIQUE FINISH,00-50004015,,Nos,Inventory Item,Cost of Materials
BUTT HINGES 3X3X3 - ANTIQUE FINISH,00-50004004,,Nos,Inventory Item,Cost of Materials
BUTT HINGES 3X4X3 BALL BEARING,00-50002731,,Nos.,Inventory Item,
BUTT HINGES 4X3X3 ,00-50002147,,Pair,Inventory Item,Cost of Materials
BUTT HINGES 4X3X3 - BLACK,00-50003453,,Pair,Inventory Item,Cost of Materials
BUTT HINGES 4X4X3 - ANTIQUE FINISH,00-50002052,,Nos,Inventory Item,Cost of Materials
BUTT HINGES 4X4X3 - BLACK,00-50000811,,Nos,Inventory Item,Cost of Materials
C TYPE HINGES-  FGV,00-50002163,,Nos,Inventory Item,Cost of Materials
C TYPE HINGES- BLUM,00-50003106,,Nos,Inventory Item,Cost of Materials
CABINET KNOB,00-50003250,,Nos.,Inventory Item,Cost of Materials
CABINET SHUTTER KNOB - BLACK,00-50002143,,Nos.,Inventory Item,Cost of Materials
CONCEALED DOOR CLOSER,00-50000807,,No.,Inventory Item,Cost of Materials
CORNER MACHINE WITH HALF ROUND SHELF,00-50002164,,Nos.,Inventory Item,Cost of Materials
CYLINDER 100MM ,00-50003895,,Nos,Inventory Item,Cost of Materials
CYLINDER 70MM ,00-50003047,,Nos,Inventory Item,Cost of Materials
CYLINDER 80MM ,00-50003278,,Nos,Inventory Item,Cost of Materials
CYLINDER 90MM ,00-50003076,,Nos,Inventory Item,Cost of Materials
DEAD LOCK FOR INDICATOR - BLACK,00-50000809,,Nos,Inventory Item,Cost of Materials
DOOR CLOSER,00-50003147,,Set,Inventory Item,Cost of Materials
DOOR HANDLE,00-50003666,,Nos.,Inventory Item,
DOOR STOPPER BLACK,00-50002949,,Nos.,Inventory Item,
DOUBLE ACTION DOOR BOTTOM,00-50003664,,Nos.,Inventory Item,
DOUBLE ACTION DOOR TOP,00-50003663,,Nos.,Inventory Item,
DOUBLE PROFILE CYLINDER 100MM,00-50001162,,Nos,Inventory Item,Cost of Materials
DOUBLE PROFILE CYLINDER 70MM - BLACK,00-50000806,,Nos,Inventory Item,Cost of Materials
DOUBLE PROFILE CYLINDER 90MM - BLACK,00-50000805,,Nos,Inventory Item,Cost of Materials
DRAWER CH U/M 350MM SOFT CLOSE-BLUM,00-50003784,,Set,Inventory Item,
DRAWER CHA 350MM B/R-BLUM,00-50003743,,Pair,Inventory Item,
DRAWER CHA 500MM B/R-BLUM,00-50003744,,Pair,Inventory Item,
DRAWER CHANNEL 200MM - SIDE RAIL,00-50003226,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 250MM - BOTTOM RAIL,00-50003457,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 250MM - SIDE RAIL,00-50003535,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 300MM - SIDE RAIL,00-50002705,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 350MM - BOTTOM RAIL,00-50003072,,Set,Inventory Item,Cost of Materials
DRAWER CHANNEL 350MM - SIDE RAIL,00-50002165,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 400MM U/M SOFT-HAFELE,00-50003741,,Set,Inventory Item,
DRAWER CHANNEL 600MM - BOTTOM RAIL,00-50003984,,Pair,Inventory Item,Cost of Materials
DRAWER CHANNEL 600MM - SIDE RAIL,00-50001411,,Pair,Inventory Item,Cost of Materials
DRAWER KNOB,00-50003802,,Nos.,Inventory Item,Cost of Materials
DRAWER LOCK 20MM,00-50003533,,Nos,Inventory Item,Cost of Materials
DRAWER LOCK 22MM,00-50002220,,Nos,Inventory Item,Cost of Materials
"EURO PROFILE TOILET CYLINDER (1/S KNOB, KEYLESS) 70MM",00-50001321,,Nos.,Inventory Item,Cost of Materials
"EURO PROFILE TOILET CYLINDER (1/S KNOB, KEYLESS) 80MM",00-50002683,,Nos.,Inventory Item,Cost of Materials
FIXED DOOR KNOB - BLACK,00-50000810,,Nos,Inventory Item,Cost of Materials
HANDLE,00-50001873,,Nos.,Inventory Item,Cost of Materials
INDICATOR BOLT  (FOR BATHROOM DOOR) BLACK,00-50000808,,Set,Inventory Item,Cost of Materials
MORTICE CYLINDER HOOK LOCK ANTIQUE FINISH - DEVON,00-50001320,,Nos.,Inventory Item,Cost of Materials
"Mortice hinge, Simonswerk TECTUS TE 340 3D,concealed, for flush doors up to 80 kg 3D adjustable, size 160 mm, Matt black",00-50003527,,Nos,Inventory Item,
PANIC DOOR HANDLE-HEAVY DUTY,00-50002950,,Nos.,Inventory Item,
PIANO HINGES-2MTR,00-50003790,,Nos.,Inventory Item,
PULL HANDLE 600MM (APS),00-50003045,,Pair,Inventory Item,Cost of Materials
PULL HANDLE AINTIQUE,00-50002734,,Nos.,Inventory Item,
PULL HANDLE C-TYPE BLACK,00-50000812,,Pair,Inventory Item,Cost of Materials
PUSH TO OPEN CATCHER - PENCIL TYPE,00-50002162,,Nos.,Inventory Item,Cost of Materials
PVC BUFFER BROWN 22MM,00-50002227,,PCS,Inventory Item,Cost of Materials
PVC BUFFER WHITE 18MM,00-50003968,,Pkt,Inventory Item,Cost of Materials
SLIDING HANDLE,00-50002859,,Nos.,Inventory Item,
SLIDING SYSTEM FOR POCKET DOOR,00-50001836,,Nos.,Inventory Item,Cost of Materials
"SOS HINGES 4"" BLACK",00-50000753,,Nos,Inventory Item,Material costs
SOS HINGES 40MM - CHROME FINISH,00-50003628,,Nos,Inventory Item,Cost of Materials
"SOS HINGES 5"" ",00-50003279,,Nos,Inventory Item,Cost of Materials
TOILET DOOR HANDLE WITH KNOB,00-50002873,,Set,Inventory Item,Cost of Materials
TOILET DOOR KNOB - ANTIQUE FINISH,00-50002814,,Nos,Inventory Item,Cost of Materials
"TOWER BOLT 10""",00-50001419,,Nos,Inventory Item,Cost of Materials
"TOWER BOLT 4"" ANTIQUE ",00-50002735,,Nos.,Inventory Item,
TOWER BOLT 600MM ANTIQUE ,00-50003983,,Nos.,Inventory Item,
UMBRELLA NAIL 32MM - ANTIQUE FINISH,00-50003154,,Nos.,Inventory Item,Cost of Materials
UMBRELLA NAIL 38MM - ANTIQUE FINISH,00-50002885,,Nos.,Inventory Item,Cost of Materials
UMBRELLA NAIL 38MM-BLACK,00-50002751,,Nos.,Inventory Item,
UMBRELLA NAIL 60MM-BLACK,00-50002750,,Nos.,Inventory Item,
Metal,00-50000363,,,,
1MM THK U SHAPED CHANNEL - BRASS,00-50001796,,Nos.,Inventory Item,Cost of Materials
METAL ROD 08MM,00-50003306,,Set,Inventory Item,Cost of Materials
METAL ROD 14MM DIA X 500MM,00-50001891,,Mtr,Inventory Item,Cost of Materials
Office Supplies,00-50001097,,,,
"2"" BINDER RING - WHITE ",00-50001882,,Nos.,Inventory Item,
BINDER CLIP - SMALL,00-50003820,,Pkt,Inventory Item,Cost of Materials
CLEAR FOLDER BLUE - SIZE A3,00-50003340,,No.,Inventory Item,Cost of Materials
CLEAR FOLDER BLUE - SIZE A4,00-50003339,,No.,Inventory Item,Cost of Materials
CRUCIAL HARDDRIVE 240 SSD 2.5,00-50001099,,Nos,Inventory Item,Office Supplies
ENVELOPE - SIZE A4,00-50001883,,Pkt,Inventory Item,
MOUSE MS116 - DELL,00-50001101,,Nos,Inventory Item,Office Supplies
NUMBER DIVIDER 1 TO 20,00-50001881,,Pkt.,Inventory Item,
NUMBER DIVIDER 1 TO 31,00-50001880,,Pkt.,Inventory Item,
POWER CABLE FOR DESKTOP 1.8 MTR,00-50001102,,Nos,Inventory Item,Office Supplies
"SAMSUNG MONITOR 27"" LS273C10EAM",00-50001098,,Nos,Inventory Item,Office Supplies
STAPLER ,00-50001884,,Nos.,Inventory Item,
STAPLER PIN 8016,00-50002832,,Box,Inventory Item,Cost of Materials
WIRED KEYBOARD,00-50001100,,Nos,Inventory Item,Office Supplies
WIRELESS KEYBOARD - LOGITECH,00-50003822,,Nos,Inventory Item,
WIRELESS MOUSE - LOGITECH,00-50003823,,Nos,Inventory Item,
Paint Items,00-50000361,,,,
ACETONE THINNER,00-50002695,,Litre,Inventory Item,Cost of Materials
BONDO PUTTY WITH CREAM HARDNER,00-50002673,,Nos.,Inventory Item,Cost of Materials
CREAM HARDNER FOR BONDO PUTTY ,00-50003930,,Nos.,Inventory Item,Cost of Materials
DYED PAINT - CHERRY # 15890,00-50002769,,Litre,Inventory Item,Cost of Materials
FIBER PUTTY,00-50003894,,Drum,Inventory Item,Cost of Materials
JOTUN FENOMASTIC NCS S-8000 N BLACK,00-50002773,,LTR,Inventory Item,Cost of Materials
JOTUN STUCCO PUTTY,00-00000073,,Drum,Inventory Item,Cost of Materials
NC CLEAR PUTTY # 1184,00-50002658,,Drum,Inventory Item,Cost of Materials
Oil Color - Black,00-50000665,,Tube,Inventory Item,Cost of Materials
Oil Color - Brown,00-50000666,,Tube,Inventory Item,Cost of Materials
Oil Color - White,00-50000667,,Tube,Inventory Item,Cost of Materials
Oil Color - Yellow,00-50000668,,Tube,Inventory Item,Cost of Materials
OIL PAINT MEDIUM,00-50000980,,Tube,Inventory Item,Cost of Materials
"PAINT BRUSH 2""",00-50002674,,No.,Inventory Item,Cost of Materials
"PAINT BRUSH 3""",00-50002774,,No.,Inventory Item,Cost of Materials
"PAINT BRUSH 4""",00-50003445,,No.,Inventory Item,Cost of Materials
PAINT NCS 1515 - R80B - JOTUN,00-50002686,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - 1104 R-24 - JOTUN,00-50003846,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - 1104 Y-24 - JOTUN,00-50003844,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSS - KAS2601 ,00-50003959,,Litre,Inventory Item,Cost of Materials
PU PAINT 10% GLOSSY - 0804 - JOTUN - G02Y 4765MK,00-50003270,,LTR,Inventory Item,Cost of Materials
PU PAINT 10% GLOSSY - 0804 - JOTUN - G207T,00-50003208,,LTR,Inventory Item,Cost of Materials
PU PAINT BLACK 10% MATT,00-50002696,,Litre,Inventory Item,Cost of Materials
PU PAINT GREEN HARMONY - 8252 - JOTUN,00-50002685,,LTR,Inventory Item,Cost of Materials
PU PAINT NCS S 0500N 10% GLOSS - JOTUN,00-50003847,,LTR,Inventory Item,Cost of Materials
PU PAINT NCS S 3040 G50Y,00-50003998,,LTR,Inventory Item,Cost of Materials
PU PAINT ROCK SUGAR 10% GLOSS - 1632 - JOTUN,00-50003361,,Kg,Inventory Item,Cost of Materials
PU PAINT SAND 10% - 1140 - JOTUN,00-50002693,,LTR,Inventory Item,Cost of Materials
PU PAINT SUMMER SNOW 10% - 1928 - JOTUN,00-50002694,,LTR,Inventory Item,Cost of Materials
PU SANDING SEALER - FR,00-50003971,,Litre,Inventory Item,
PU THINNER - FAST DRY,00-50003958,,Litre,Inventory Item,Cost of Materials
PU TOPCOAT CLEAR 0% - FR,00-50003972,,Litre,Inventory Item,Cost of Materials
PUTTY FILLER NATURAL,00-50002792,,Kg,Inventory Item,Cost of Materials
PVA PRIMER WHITE,00-50002662,,Drum,Inventory Item,Cost of Materials
PVA WATER PRIMER WHITE ,00-50002889,,Drum,Inventory Item,Cost of Materials
STUCCO PUTTY - WHITE,00-50002663,,Drum,Inventory Item,Cost of Materials
WATER BASE PAINT - 1519 VANILLA LATTE,00-50003277,,LTR,Inventory Item,Cost of Materials
WATER BASE PAINT - 4017 - ECLIPSE GREY - JOTUN,00-50002785,,Drum,Inventory Item,Cost of Materials
WATER BASE PAINT - EGG SHELL EMULSION MATT WHITE 800 - NATIONAL,00-50003413,,Drum,Inventory Item,Cost of Materials
WATER BASE PAINT - MATT FINISH 9930 JAZZ GREY,00-50003276,,LTR,Inventory Item,Cost of Materials
WATER BASE PAINT - MILKY WHITE 1832 - JOTUN,00-50003321,,Drum,Inventory Item,Cost of Materials
WATER BASE PAINT - NCS-S - 1060-Y - 70R - JOTUN,00-50002801,,Drum,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 270-2 - YELLOW 5,00-50003950,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 380-3 - ORANGE 6,00-50003951,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 430-5 - RED-8,00-50003952,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 480-4 - PEACH-10,00-50003954,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 510-4 - PINK-11,00-50003955,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 520-1 - PINK-9,00-50003953,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 570-5 - PURPLE-13,00-50003956,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 660-4 - BLUE 2,00-50003949,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 670-2 - BLUE-1,00-50003957,,Gallon,Inventory Item,Cost of Materials
WATER BASE PAINT - RAL 9001,00-50003799,,Drum,Inventory Item,Cost of Materials
WATER BASE PUTTY NATURAL,00-50002768,,Kg,Inventory Item,Cost of Materials
WOOD FILLER NATURAL ,00-50002657,,Kg,Inventory Item,Cost of Materials
Paint Items,00-50000365,,,,
A/Y CATALYST FOR GLOSS C152AP - ICA,00-50003354,,LTR,Inventory Item,Cost of Materials
BURNT SIENNA POWDER DRY,00-50001686,,Kg,Inventory Item,Cost of Materials
DYED PAINT - OAK # 15750,00-50001736,,LTR,Inventory Item,Cost of Materials
DYED PAINT - RED MAHOGANY # 15780,00-50001737,,LTR,Inventory Item,Cost of Materials
EXTERIOR MATT F6502720,00-50001870,,Gallon,Inventory Item,Cost of Materials
FENOMASTIC BLACK MATT - JOTUN,00-50003301,,LTR,Inventory Item,Cost of Materials
FENOMASTIC GREEN - JOTUN,00-50003299,,LTR,Inventory Item,Cost of Materials
FENOMASTIC MYHOME RICH MATTBASE A - JOTUN,00-50001236,,Litre,Inventory Item,Cost of Materials
FENOMASTIC RAL-3004 PURPLE RED - JOTUN,00-50002149,,Drum,Inventory Item,
FENOMASTIC RAL-7024 GRAPHITE GREY,00-50002150,,Drum,Inventory Item,Cost of Materials
FENOMASTIC WATER BASED PAINT - 8395 / 0802-G94Y WHITE COMFORT,00-50003240,,Drum,Inventory Item,Cost of Materials
FENOMASTIC WATER BASED PAINT - 9918 / SO500-N CLASSIC WHITE,00-50003239,,Drum,Inventory Item,Cost of Materials
FENOMASTIC WHITE - JOTUN,00-50001113,,Drum,Inventory Item,
FENOMASTIC WHITE MATT - JOTUN,00-50003320,,Drum,Inventory Item,Cost of Materials
FENOMASTIC YELLOW - JOTUN,00-50003300,,LTR,Inventory Item,Cost of Materials
GOLD LINE RAL-1036 - JOTUN,00-50002151,,Gallon,Inventory Item,
JOTUN FENOMASTIC 0520,00-50002068,,Gallon,Inventory Item,Cost of Materials
JOTUN FENOMASTIC MATT CAMEL BROWN 1351/S3010 Y-30R BASE A,00-50002057,,Litre,Inventory Item,Cost of Materials
Jotun Fenomastic Purecolour Emulsion Mat Base A 16.2L S0550-G90Y - Yellow,00-50001112,,Litre,Inventory Item,Cost of Materials
JOTUN FENOMASTIC RICH MATT BASE-A,00-50001768,,Gallon,Inventory Item,Cost of Materials
LADY DESIGN GLAZE 0.45 LTR - JOTUN,00-50001237,,Nos,Inventory Item,Cost of Materials
LADY DESIGN ROMANO BASE B - JOTUN,00-50001235,,Gallon,Inventory Item,Cost of Materials
NC TOPCOAT CLEAR 10% GLOSS,00-50004023,,Litre,Inventory Item,Cost of Materials
PAINT REMOVER - ZEAL ,00-50001721,,Gallon,Inventory Item,Cost of Materials
PU CATALYST - ICA,00-50001404,,Litre,Inventory Item,Cost of Materials
PU HIGH GLOSS - LP923B - 8007 - ICA,00-50003462,,Kg,Inventory Item,Cost of Materials
PU MATT 10% 7184 A - OP550G10 - ICA,00-50001120,,Litre,Inventory Item,Cost of Materials
PU MATT 10% 7335 A - OP550G10 - ICA,00-50002429,,Litre,Inventory Item,Cost of Materials
PU MATT 10% H86010 - 0553 - ICA,00-50003259,,Litre,Inventory Item,Cost of Materials
PU MATT 10% H86010 - 0568 - ICA,00-50003415,,Litre,Inventory Item,Cost of Materials
PU MATT 10% H86010 - 7298A - ICA,00-50001901,,Litre,Inventory Item,Cost of Materials
PU MATT 10% H86010 - 7719W - ICA,00-50003011,,Litre,Inventory Item,Cost of Materials
